#,Day,Time,Time2,Instructor,Course Title
201,T/Th,4:30 PM,5:45 PM,"Barber, David",Wizards & Wild Things
202,T/Th,12:00 PM,1:15 PM,"Betz, Jacob",Religious Pluralism
204,M/W,9:00 AM,10:15 AM,"Brown, Steven",Wastelands
205,M/W,10:30 AM,11:45 AM,"Brown, Steven",Wastelands
206,T/Th,3:00 PM,4:15 PM,"Brown, Willa",Remembering the Civil War*
207,T/Th,4:30 PM,5:45 PM,"Brown, Willa",Remembering the Civil War*
208,M/W,3:00 PM,4:15 PM,"Case, Sarah","Green Spaces, Urban Places"
209,M/W,4:30 PM,5:45 PM,"Case, Sarah","Green Spaces, Urban Places"
211,T/Th,3:00 PM,4:15 PM,"Cole, Matthew",1984: Orwell's World and Ours
212,T/Th,4:30 PM,5:29 PM,"Cole, Matthew",1984: Orwell's World and Ours
213,T/Th,10:30 AM,11:45 AM,"Doherty, Margaret",Modern Love
214,T/Th,1:30 PM,2:45 PM,"Fu, Janling",Eating Culture
216,T/Th,10:30 AM,11:45 AM,"Gold, Alexandra","Telling Her Story: Narrative, Media, & #MeToo"
217,T/Th,12:00 PM,1:15 PM,"Gold, Alexandra","Telling Her Story: Narrative, Media, & #MeToo"
218,M/W,12:00 PM,1:15 PM,"Greenup, Martin","Humans, Nature, & the Environment"
219,M/W,1:30 PM,2:45 PM,"Greenup, Martin","Humans, Nature, & the Environment"
220,T/Th,12:00 PM,1:15 PM,"Herron, James",Class & Culture
221,M/W,3:00 PM,4:15 PM,"Martin, Richard",Society & The Witch
223,M/W,10:30 AM,11:45 AM,"Meyer, Rachel","Work: Culture, Power, & Control"
224,M/W,12:00 PM,1:15 PM,"Mitchell, Lindsay",The Femme Fatale
225,M/W,1:30 PM,2:45 PM,"Mitchell, Lindsay",The Femme Fatale
226,T/Th,9:00 AM,10:15 AM,"Monaghan, Shannon",“Noncombatants”: The Home Front in Total War
227,T/Th,10:30 AM,11:45 AM,"Monaghan, Shannon",“Noncombatants”: The Home Front in Total War
228,T/Th,1:30 PM,2:45 PM,"Raymer, Emilie",Genetics & Bioethics
229,T/Th,3:00 PM,4:15 PM,"Raymer, Emilie",Genetics & Bioethics
232,M/W,4:30 PM,5:45 PM,"Richardson, Kip",God and Government
259,M/W,1:30 PM,2:45 PM,"Rosefield, Hannah",American Money
260,M/W,12:00 PM,1:15 PM,"Rosefield, Hannah",American Money
233,T/Th,3:00 PM,4:15 PM,"Rossoukh, Ramyar",Journey to Mars
234,T/Th,1:30 PM,2:45 PM,"Rossoukh, Ramyar",Journey to Mars
235,T/Th,6:00 PM,7:15 PM,"Roth, Benjamin",Philosophical Films
236,T/Th,9:00 AM,10:15 AM,"Saha, Sparsha",Animals & Politics*
238,T/Th,12:00 PM,1:15 PM,"Scheffler, Adam",The Underworld
239,T/Th,1:30 PM,2:45 PM,"Scheffler, Adam",The Underworld
240,M/W,3:00 PM,4:15 PM,"Schwab, Jessica","Language, Identity, & Power"
241,M/W,1:30 PM,2:45 PM,"Schwab, Jessica","Language, Identity, & Power"
244,T/Th,7:30 AM,8:45 AM,"Tejblum, Julia",Truth Claims in a Post-Truth World
246,M/W,10:30 AM,11:45 AM,"Vierba, Ezer","Buddhism, Mindfulness, & the Practical Mind"
247,M/W,12:00 PM,1:15 PM,"Vierba, Ezer","Buddhism, Mindfulness, & the Practical Mind"
242,M/W,3:00 PM,4:15 PM,"Vincent, Robert",Are Prisons Obsolete?*
243,M/W,4:30 PM,5:45 PM,"Vincent, Robert",Are Prisons Obsolete?*
248,M/W,9:00 AM,9:15 AM,"Wilson, Jeffrey",Why Shakespeare?
249,M/W,10:30 AM,11:15 AM,"Wilson, Jeffrey",Why Shakespeare?
250,T/Th,10:30 AM,11:45 AM,"Wittenberg, Eve",What is Health?
253,T/Th,3:00 PM,4:15 PM,"Zaitseva, Lioudmila",Representing Childhood
254,T/Th,4:30 PM,5:29 PM,"Zaitseva, Lioudmila",Representing Childhood
