Class,Symptoms,Disease Cycle,Predicting Infection,Preventative Measures,Treatment
Apple Scab,"A serious disease of apples and ornamental crabapples, apple scab (Venturia inaequalis) attacks both leaves and fruit. The fungal disease forms pale yellow or olive-green spots on the upper surface of leaves. Dark, velvety spots may appear on the lower surface. Severely infected leaves become twisted and puckered and may drop early in the summer. Symptoms on fruit are similar to those found on leaves. Scabby spots are sunken and tan and may have velvety spores in the center. As these spots mature, they become larger and turn brown and corky. Infected fruit becomes distorted and may crack allowing entry of secondary organisms. Severely affected fruit may drop, especially when young.","The apple scab fungus (Venturia inaequalis) overwinters in infected leaves that have fallen to the ground. Fruiting bodies are produced within the dead leaf tissue. As spring approaches these begin to mature and produce spores (ascospores; primary phase) that are discharged into air currents and carried to developing apple buds. The fruiting bodies in the fallen leaves must be wet for the spores to discharge. The ascospores are not all discharged with the first spring rains, for they mature over a 4- to 6-week period. This period usually coincides with the time that elapses from ¼ inch green until 2 to 3 weeks after petal fall. Mature ascospores peak from late pink through petal fall, which is the most critical time for protection during the primary phase of the disease. especially if ideal environmental conditions favoring disease are present.",,"Grow scab-resistant cultivars of apples. Apples with good resistance include Akane, Chehalis, Liberty, Prima and Tydeman Red. Apply nitrogen to leaves that have fallen to the ground in the fall to enhance decomposition of fallen leaves and make them more palatable to earthworms. Hand apply a liquid fish solution or 16-16-16 fertilizer to help with the decomposition. Shred fallen leaves in the fall with a mower to help speed up decomposition. Prune your apple trees to open up branching and allow more air circulation. When watering your apple trees, avoid getting foliage wet. Apply dolomitic lime in the fall, after leaf drop, to increase pH and to help reduce fungal spores in the spring. Spray fungicide – Bonide Captan, wettable sulfur, summer lime sulfur or Spectracide Immunox – when temperatures are above 60 degrees and the leaves or blooms are wet.","Fungicides against apple scab can only protect healthy trees from getting infected, they do not get rid of the fungus on an infected tree. Once the tree shows symptoms of the disease during the growing season, spraying a fungicide won’t have any effect. All that a fungicide does is create a protective coating so that the spores that land on the leaves or fruit cannot become active, thereby breaking the disease cycle on the tree.
Don’t apply indiscriminately a fungicide as a preventative measure on all your apple or crabapple trees, but only spray a tree that has been infected by the fungus. Again, the rule of thumb is if the tree has lost its leaves prematurely for three consecutive years.
Timing is key. Spray when the bud growth starts, and repeat with the frequency and in the intervals specified on the fungicide label. When and how often to apply a fungicide also depends on the weather conditions, and the severity of the infection. Before you spray again, always thoroughly inspect the leaves for symptoms to decide whether another application of the fungicide is indeed necessary.
There are different types of fungicides for eating apples and crabapples so make sure the fungicide is suitable for eating apples. Fungicides available to homeowners are products with captan, lime-sulfur, and dusting wettable sulfur as active ingredients."
Apple Black Rot,"Early symptoms are often limited to leaf symptoms such as purple spots on upper leaf surfaces. As these spots age, the margins remain purple, but the centers dry out and turn yellow to brown. Over time, the spots expand and heavily infected leaves drop from the tree. Infected branches or limbs will show characteristic red-brown sunken areas that expand each year. Fruit infection is the most destructive form of this pathogen and begins with infected flowers before fruits expand. When fruits are tiny and green, you’ll notice red flecks or purplish pimples that enlarge as the fruit does. Mature fruit lesions take on a bulls-eye appearance, with bands of brown and black areas expanding outward from a central point in each lesion. Commonly, black rot disease causes blossom end rot or mummification of the fruits on the tree.

",,,,"Treating black rot on apple trees starts with sanitation. Because fungal spores overwinter on fallen leaves, mummified fruits, dead bark, and cankers, it’s important to keep all the fallen debris and dead fruit cleaned up and away from the tree. During the winter, check for red cankers and remove them by cutting them out or pruning away the affected limbs at least six inches (15 cm.) beyond the wound. Destroy all infected tissue immediately and keep a watchful eye out for new signs of infection. Once black rot disease is under control in your tree and you’re again harvesting healthy fruits, make sure to remove any injured or insect-invaded fruits to avoid re-infection. Although general-purpose fungicides, like copper-based sprays and lime sulfur, can be used to control black rot, nothing will improve apple black rot like removing all sources of spores.

Read more at Gardening Know How: What Is Black Rot: Treating Black Rot On Apple Trees https://www.gardeningknowhow.com/edible/fruits/apples/black-rot-on-apple-trees.htm"
Apple Cedar Apple Rust,"On the apple tree, the infections occur on leaves, fruit and young twigs.[2] The brightly colored spots produced on the leaves make it easy to identify. Small, pale yellow spots appear on the upper surfaces of the leaves, usually during late April or May on the eastern seaboard of the United States. These spots gradually enlarge and turn orange or red and may show concentric rings of color. Drops of orange liquid may be visible on the spots. Later in the season, black dots appear on the orange spots on the upper leaf surface. In late summer, tube-like structures develop on the undersurface of the apple leaf. Infected leaves sometimes drop prematurely, particularly during drought conditions or when the tree is under additional stress. Infections on fruit are usually near the blossom end and are somewhat similar to the leaf lesions.","Cedar apple rust is caused by the fungi Gymnosporangium or more specifically Gymnosporangium juniperi-virginianae that spend part of their life cycles on Eastern Red Cedars growing near orchards. On the eastern seaboard of the United States, at the first warm rain of spring, the spore horns become gelatinous masses and produce their teliospores.",,"The best way to control cedar apple rust is to prevent infection using a mixture of cultural methods and chemical treatments. If you see the lesions on the apple leaves or fruit, it is too late to control the fungus. In that case, you should focus on purging infected leaves and fruit from around your tree. If your tree has a history of infection with cedar apple rust, you will want to get ahead of the infection and take preemptive measures. This is critical in the spring, when the juniper galls are releasing their spores. The time to treat your tree is between the pink stage of the blossoms (when the leaves are turning green) to the period when the petals drop. The most effective types of fungicides to use are those that inhibit fungal sterols. They are known as “SI,” or sterol inhibitors.

","If you see the lesions on the apple leaves or fruit, it is too late to control the fungus. In that case, you should focus on purging infected leaves and fruit from around your tree. Spraying apple trees with copper can be done to treat cedar apple rust and prevent other fungal infections."
Apple Healthy,,,,,
Background Without Leaves,,,,,
Blueberry Healthy,,,,,
Cherry Powdery Mildew,"Initial symptoms, often occurring 7 to 10 days after the onset of the first irrigation, are light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves). Older leaves develop an age-related (ontogenic) resistance to powdery mildew and are naturally more resistant to infection than younger leaves. Look for early leaf infections on root suckers, the interior of the canopy or the crotch of the tree where humidity is high. In contrast to other fungi, powdery mildews do not need free water to germinate but germination and fungal growth are favored by high humidity (Grove & Boal, 1991a). The disease is more likely to initiate on the undersides (abaxial) of leaves (Fig. 2) but will occur on both sides at later stages. As the season progresses and infection is spread by wind, leaves may become distorted, curling upward. Severe infections may cause leaves to pucker and twist. Newly developed leaves on new shoots become progressively smaller, are often pale and may be distorted.","Powdery mildew fungi can only reproduce on their living cell host and reproduce both sexually and asexually. Sexual reproduction is via chasmothecia (formerly cleistothecium), a type of ascocarp where the genetic material recombines. Powdery mildew fungi must be adapted to their hosts to be able to infect them. Within each ascocarp are several asci.

Under optimal conditions, ascospores mature and are released to initiate new infections. Conditions necessary for spore maturation differ among species. Asexual reproduction is where the mother fungi and offspring are genetically identical. Powder mildew fungi offspring of wheat and barley species are more successful from asexual reproduction compared to sexual reproduction counterparts.","","Milk has long been popular with home gardeners and small-scale organic growers as a treatment for powdery mildew. Milk is diluted with water (typically 1:10) and sprayed on susceptible plants at the first sign of infection, or as a preventative measure, with repeated weekly application often controlling or eliminating the disease. Studies have shown milk's effectiveness as comparable to some conventional fungicides, and better than benomyl and fenarimol at higher concentrations. Milk has proven effective in treating powdery mildew of summer squash, pumpkins, grapes, and roses. The exact mechanism of action is unknown, but one known effect is that ferroglobulin, a protein in whey, produces oxygen radicals when exposed to sunlight, and contact with these radicals is damaging to the fungus.

Dilute sprays containing sodium bicarbonate (baking soda) and vegetable or mineral oils in water are often recommended for controlling powdery mildew, but such mixtures have limited and inconsistent efficacy. While sodium bicarbonate has been shown to reduce to growth of mildews in lab tests, sprays containing only baking soda and water are not effective in controlling fungal diseases on infected plants, and high concentrations of sodium are harmful to plants.

","In an agricultural setting, the pathogen can be controlled using chemical methods, genetic resistance, and careful farming methods. Standard fungicides are an effective way to manage powdery mildew disease on plants. Spray programs of conventional fungicides are advised to begin when powdery mildew symptoms and signs are first noticed. Conventional fungicides should be applied on a regular basis for best results against the disease. Control is possible with triadimefon and propiconazole. It is also possible with hexaconazole, myclobutanil, and penconazole. There are some unconventional chemical control methods that offer alternative modes of action. The most effective non-conventional methods of chemical control against powdery mildew are milk, natural sulfur (S8), potassium bicarbonate, metal salts, and oils."
Cherry Healthy,,,,,
Corn Gray Leaf Spot,"The initial symptoms of grey leaf spot emerge as small, dark, moist spots that are encircled by a thin, yellow radiance (lesions forming). The tissue within the “spot"" begins to die as spot size increases into longer, narrower leaf lesions. Although initially brownish and yellow, the characteristic grey color that follows is due to the production of grey fungal spores (conidia) on the lesion surface. These symptoms that are similar in shape, size and discoloration, are also prevalent on the corn husks and leaf sheaths. Leaf sheath lesions are not surrounded by a yellow radiance, rather a brown or dark purple radiance.[9] This dark brown or purple discoloration on leaf sheaths is also characteristic to northern corn leaf blight (Exserohilum turcicum), southern corn leaf blight (Bipolaris maydis), or northern corn leaf spot (Bipolaris zeicola). Corn grey leaf spot mature lesions are easily diagnosed and distinguishable from these other diseases. Mature corn grey leaf spot lesions have brown rectangular and vein limited shape. Secondary and tertiary leaf veins limit the width of the lesion and sometimes individual lesions can combine to blight entire leaves.","Cercospora zeae-maydis survives only as long as infected corn debris is present; however, it is a poor soil competitor. The debris on the soil surface is a cause for primary inoculation that infects the incoming corn crop for the next season. By late spring, conidia (asexual spores) are produced by Cercospora zeae-maydis in the debris through wind dispersal or rain. The conidia are disseminated and eventually infect new corn crop.[13] In order for the pathogen to actually infect the host, high relative humidity and moisture (dew) on the leaves are necessary for inoculation. Primary inoculation occurs on lower regions of younger leaves, where conidia germinate across leaf surfaces and penetrate through stomata via a flattened hyphal organ, an appressorium. Cercospora zeae-maydis is atypical in that its conidia can grow and survive for days before penetration, unlike most spores that need to penetrate within hours to ensure survival. Once infection occurs, the conidia are produced in these lower leaf regions. Assuming favorable weather conditions (see Environment Section), these conidia serve as secondary inoculum for upper leaf regions, as well as husks and sheaths (where it can also overwinter and produce conidia the following season). Additionally, wind and heavy rains tend to disperse the conidia during many secondary cycles to other parts of the field causing more secondary cycles of infection. If conditions are unfavorable for inoculation, the pathogen undergoes a state of dormancy during the winter season and reactivates when conditions favorable to inoculation return (moist, humid) the following season. The fungus overwinters as stromata (mixture of plant tissues and fungal mycelium) in leaf debris, which give rise to conidia causing primary inoculations the following spring and summer.[14]

",,"In order to best prevent and manage corn grey leaf spot, the overall approach is to reduce the rate of disease growth and expansion. This is done by limiting the amount of secondary disease cycles and protecting leaf area from damage until after corn grain formation. High risks for corn grey leaf spot are divided into eight factors, which require specific management strategies. High risk factors for grey leaf spot in corn:
Susceptible hybrid
Continuous corn
Late planting date
Minimum tillage systems
Field history of severe disease
Early disease activity (before tasseling)
Irrigation
Favorable weather forecast for disease
There are currently five different management strategies, some of which are more effective than others.

The most proficient and economical method to reduce yield losses from corn grey leaf spot is by introducing resistant plant varieties. In places where leaf spot occur, these crops can ultimately grow and still be resistant to the disease. Although the disease is not completely eliminated and resistant varieties show disease symptoms, at the end of the growing season, the disease is not as effective in reducing crop yield. SC 407 have been proven to be common corn variety that are resistant to grey leaf spot. If grey leaf spot infection is high, this variety may require fungicide application to achieve full potential. Susceptible varieties should not be planted in previously infected areas (see high risk table).

","Fungicides are available for in-season gray leaf spot management. It is important to remember that a fungicide application is an additional cost to corn production, so growers must consider economic factors (corn market
price and fungicide application cost) and other disease factors before deciding whether to apply a fungicide to manage gray leaf spot. Research in Indiana indicates that strobilurin and strobilurin/triazole premix fungicides are most effective at preventing yield loss when applied in response to disease presence, and at the tasseling to early silking (VT-R1) growth stage. Scouting fields around V14, or just prior to tassel emergence, can help determine the level of disease pressure in a field."
Corn Common Rust,"Puccinia sorghi often first appears after silking in maize. The first early symptom includes chlorotic specks on the leaf. The obvious sign of this plant pathogen is golden-brown pustules or bumps on the above-ground surface of the plant tissue.[5] These bumps are urediniospores which can spread to other plants and cause further infection. They are circular and powdery, which result from spores breaking through the leaf surface. While they are only about 1-2 mm each, they are very numerous with equal frequencies on upper and lower leaf surfaces. Overtime, these blister-like bumps can change from brown to black, changing from urediniospores to teliospores. [6] The most common place to find these spores is on the plant leaf, but they can develop on husks, tassels, and stalks as well. P. sorghi has two hosts making it a heteroecious rust. Maize and Oxalis are the two hosts for P. sorghi. In comparison, the other common type of maize rust is southern corn rust (Puccinia polysora) and it has a higher variety of hosts including maize, silver plumegrass, eastern gamagrass, Tripsacum lanceolatum, T. laxum, and T. pilorum.[6]","There are five spore stages in P. sorghi. The spore types are teliospores, basidiospores, pycniospores, aeciospores, and urediniospores. Every year, viable urediniospores must travel to the north from the warmer southern climate. Since P. sorghi is an obligate parasite, it requires living plant tissue in order to survive. Therefore, this disease cannot overwinter in northern US states. The severity of the disease depends largely on weather conditions and how many spores are carried north each season.[7] Urediniospores infect leaves and produce more spores to create a secondary inoculum and polycyclic disease cycle. Once the urediniospores mature on the plant tissue and turn black they become teliospores. Urediniospores measure 22-33 × 20-28 µm. Teliospores are two-celled and measure 27-53 µm.[8] Teliospores overwinter in the southern climate and germinate in the spring. Teliospores produce basidiospores which spread by wind to infect Oxalis. They infect Oxalis and produce sexual spores (pycniospores) and aeciospores. Aeciospores are windblown to maize and infect the plant.

",,"The use of resistant maize hybrids is the best way to manage P. sorghi. There are two types of resistance that exist.[9] The first is partial resistance which results in fewer rust spots by reducing germination rate. This type of resistance makes P. sorghi less severe by slowing down development of number of urediniospores. The other type of resistance is qualitative. This type relies on a single gene which provides total resistance to the plant. Other management tactics include foliar application of fungicide and cultural control.[10] For fungicide application, plants should be monitored throughout the season, spraying when there are six or more pustules per leaf. Fungicide groups that can be used include mixed modes of action, DMI Triazoles (Group 3), and Qol Strobilurins (Group 11).[11] Cultural control can be more effective in areas where the spores can overwinter. Debris should be collected and destroyed by burning along with eradication of Oxalis in surrounding areas. In northern areas where the spores can’t overwinter, early planting time can help avoid P. sorghi. Younger leaves are more susceptible to infection, by planting earlier the crop will be more mature and more resilient by the time the spores arrive.",
